顧客ID,購入額,購入頻度,購入取引数,支払額,最低支払額,一括購入額,一括購入の頻度,分割購入額,分割購入の頻度,カードキャッシング金額,カードキャッシングの頻度,カードキャッシング取引数,クレジット限度額
C10095,5100.07,1.0,46,6409.496345,9827.045323,1147.83,0.25,3952.24,0.916667,370.737197,0.083333,1,9000.0
C10096,1032.04,0.909091,17,3056.424974,910.707525,226.9,0.090909,805.14,0.818182,4335.919227,0.545455,21,4000.0
C10097,45.65,0.083333,1,440.840439,312.560636,45.65,0.083333,0.0,0.0,495.657934,0.083333,1,1800.0
C10098,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,2400.0
C10099,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,2400.0
C10100,0.0,0.0,0,151.823651,2906.110765,0.0,0.0,0.0,0.0,120.612912,0.083333,1,1200.0
C10101,739.44,0.666667,11,417.128532,389.138517,739.44,0.666667,0.0,0.0,0.0,0.0,0,6000.0
C10102,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,1713.984305,0.5,6,4000.0
C10103,79.0,0.25,3,217.820198,121.781205,0.0,0.0,79.0,0.166667,0.0,0.0,0,7000.0
C10104,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,89.849004,0.142857,1,3000.0
C10105,20.0,0.111111,1,26.487919,60.913577,20.0,0.111111,0.0,0.0,0.0,0.0,0,1500.0
C10106,1346.28,1.0,12,712.149153,54.79166,0.0,0.0,1346.28,1.0,0.0,0.0,0,2000.0
C10107,2823.8,0.916667,75,9172.788366,2103.796148,1540.41,0.916667,1283.39,0.833333,0.0,0.0,0,5700.0
C10108,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,4500.0
C10109,0.0,0.0,0,2236.890255,214.828158,0.0,0.0,0.0,0.0,920.309805,0.083333,1,4000.0
C10110,808.0,0.25,4,532.741699,1026.976,808.0,0.25,0.0,0.0,959.857263,0.333333,6,4000.0
C10111,941.64,1.0,12,1097.78942,176.610605,0.0,0.0,941.64,1.0,0.0,0.0,0,2500.0
C10112,0.0,0.0,0,1241.538024,1439.230899,0.0,0.0,0.0,0.0,5439.467563,0.583333,40,8000.0
C10113,423.7,0.666667,10,577.050373,498.365419,177.64,0.166667,246.06,0.5,412.399058,0.083333,2,2000.0
C10114,4478.75,1.0,64,10857.94321,2469.571326,2721.59,0.916667,1757.16,1.0,7205.520805,0.583333,21,9000.0
C10115,1354.86,0.916667,34,858.976682,108.319927,585.63,0.333333,769.23,0.833333,0.0,0.0,0,5500.0
C10116,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,1008.348672,0.083333,2,4200.0
C10117,2812.2,1.0,81,1509.423237,1834.031569,857.12,0.25,1955.08,1.0,2510.352951,0.333333,8,8500.0
C10118,0.0,0.0,0,1277.76778,2760.115734,0.0,0.0,0.0,0.0,3360.228794,0.25,11,7000.0
C10119,1508.9,0.666667,14,1884.227778,136.639824,1252.36,0.416667,256.54,0.333333,0.0,0.0,0,5000.0
C10120,1045.57,1.0,25,552.432305,207.720441,667.95,0.583333,377.62,1.0,0.0,0.0,0,3000.0
C10121,2309.78,0.583333,12,1206.81188,99.372848,0.0,0.0,2309.78,0.5,0.0,0.0,0,6500.0
C10122,0.0,0.0,0,687.691735,2439.136113,0.0,0.0,0.0,0.0,576.206382,0.25,10,1800.0
C10123,495.0,0.166667,2,1969.845566,147.049952,0.0,0.0,495.0,0.166667,0.0,0.0,0,7000.0
C10124,0.0,0.0,0,932.418855,709.207016,0.0,0.0,0.0,0.0,509.023801,0.333333,4,3000.0
C10125,6724.26,1.0,85,1888.756861,2167.446204,4100.08,0.916667,2624.18,1.0,1686.599777,0.5,10,17000.0
C10126,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,9000.0
C10127,5580.85,1.0,75,3564.977774,630.00413,0.0,0.0,5580.85,1.0,0.0,0.0,0,8500.0
C10128,0.0,0.0,0,1065.426905,1412.648089,0.0,0.0,0.0,0.0,998.84867,0.166667,2,3200.0
C10130,0.0,0.0,0,3066.614272,3406.258999,0.0,0.0,0.0,0.0,4614.427403,0.333333,9,19000.0
C10131,12462.44,0.916667,217,11628.71557,2000.990921,12462.44,0.916667,0.0,0.0,0.0,0.0,0,2800.0
C10132,0.0,0.0,0,385.853874,84.697292,0.0,0.0,0.0,0.0,272.713302,0.125,1,1200.0
C10133,1957.3,0.833333,19,1004.35474,1086.428906,1077.3,0.166667,880.0,0.583333,0.0,0.0,0,5000.0
C10134,150.64,0.083333,1,2606.059389,2894.077159,150.64,0.083333,0.0,0.0,8362.154254,0.5,14,17000.0
C10135,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,2799.714934,0.083333,3,13000.0
C10136,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,273.558033,0.083333,1,5000.0
C10137,1271.12,0.833333,33,1906.032044,3572.279251,351.54,0.25,919.58,0.833333,0.0,0.0,0,5000.0
C10138,250.6,0.583333,7,319.762903,173.632006,0.0,0.0,250.6,0.5,0.0,0.0,0,3000.0
C10139,796.33,0.083333,1,10664.65866,2600.875721,796.33,0.083333,0.0,0.0,13748.47131,0.666667,16,13000.0
C10140,440.0,0.916667,22,554.116542,185.091037,0.0,0.0,440.0,0.916667,0.0,0.0,0,4000.0
C10141,1330.62,0.5,8,1020.783647,709.610053,1169.63,0.166667,160.99,0.25,0.0,0.0,0,2000.0
C10142,5491.79,1.0,52,1015.311953,615.92402,1390.5,0.5,4101.29,1.0,0.0,0.0,0,17000.0
C10143,897.86,0.916667,18,972.358048,184.524376,714.52,0.333333,183.34,0.916667,586.268966,0.25,3,1200.0
C10144,22009.92,1.0,216,23018.57583,18621.01331,9449.07,0.75,12560.85,1.0,0.0,0.0,0,18000.0
C10145,720.6,1.0,12,1061.292471,689.118919,720.6,1.0,0.0,0.0,723.308724,0.083333,1,2500.0
C10146,197.06,0.333333,5,492.200419,509.384182,148.66,0.25,48.4,0.166667,0.0,0.0,0,1000.0
C10147,0.0,0.0,0,1566.806897,172.959728,0.0,0.0,0.0,0.0,1307.102516,0.166667,3,7500.0
C10148,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,4002.353384,0.5,9,7000.0
C10149,2084.48,0.666667,13,3219.621433,3068.125648,1300.48,0.416667,784.0,0.583333,0.0,0.0,0,21500.0
C10150,5779.36,1.0,97,4416.41268,546.439139,3436.53,1.0,2342.83,1.0,0.0,0.0,0,6500.0
C10151,1025.0,0.083333,2,698.854095,819.682666,1025.0,0.083333,0.0,0.0,0.0,0.0,0,7500.0
C10152,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
C10153,28.65,0.083333,1,1235.630069,194.324456,28.65,0.083333,0.0,0.0,384.26178,0.083333,1,9000.0
C10154,944.96,0.5,9,1955.198953,992.652486,164.96,0.25,780.0,0.416667,0.0,0.0,0,1500.0
C10155,1039.2,0.833333,11,1855.235407,468.196732,80.0,0.083333,959.2,0.833333,103.102091,0.083333,1,13500.0
C10156,4059.93,0.583333,14,3685.61062,12854.9397,0.0,0.0,4059.93,0.5,555.469352,0.166667,7,7000.0
C10157,4075.37,1.0,31,2254.26002,329.29648,3322.28,1.0,753.09,1.0,0.0,0.0,0,6500.0
C10158,870.24,1.0,24,835.839952,193.011166,0.0,0.0,870.24,1.0,0.0,0.0,0,8000.0
C10159,9792.23,1.0,216,11717.30794,6042.391629,3959.81,0.75,5832.42,1.0,2444.445738,0.75,26,20000.0
C10160,2463.12,1.0,46,2573.722764,95.342224,789.53,0.5,1673.59,1.0,0.0,0.0,0,4000.0
C10161,1859.34,0.333333,4,3104.275623,288.903628,0.0,0.0,1859.34,0.25,0.0,0.0,0,20000.0
C10162,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,3303.1523,0.75,15,7900.0
C10163,0.0,0.0,0,363.474455,2827.997525,0.0,0.0,0.0,0.0,66.275851,0.166667,2,1800.0
C10164,7283.31,1.0,77,14373.3929,1058.128452,5087.31,1.0,2196.0,0.666667,0.0,0.0,0,11000.0
C10165,295.0,0.083333,2,439.407082,362.838185,295.0,0.083333,0.0,0.0,93.579809,0.083333,1,1200.0
C10166,0.0,0.0,0,778.827993,721.798576,0.0,0.0,0.0,0.0,429.691164,0.416667,5,3000.0
C10167,0.0,0.0,0,1009.185035,1177.149934,0.0,0.0,0.0,0.0,988.356213,0.083333,1,8500.0
C10168,648.22,1.0,27,1110.886425,208.298424,115.0,0.083333,533.22,1.0,0.0,0.0,0,1200.0
C10169,557.19,0.25,5,422.711848,616.005839,525.64,0.083333,31.55,0.166667,0.0,0.0,0,4000.0
C10170,469.98,1.0,6,367.109312,86.102479,0.0,0.0,469.98,0.833333,0.0,0.0,0,1000.0
C10171,0.0,0.0,0,1346.365584,1972.526015,0.0,0.0,0.0,0.0,369.950794,0.083333,1,6500.0
C10172,131.64,1.0,12,2916.071564,243.199498,0.0,0.0,131.64,1.0,0.0,0.0,0,8000.0
C10173,5078.14,0.916667,42,4756.654374,241.894073,4330.53,0.666667,747.61,0.75,1424.442602,0.083333,1,15000.0
C10174,924.6,1.0,12,1202.711782,1747.037345,0.0,0.0,924.6,1.0,0.0,0.0,0,1000.0
C10175,1975.4,0.666667,17,1795.012223,167.219681,1393.5,0.416667,581.9,0.333333,0.0,0.0,0,4000.0
C10176,0.0,0.0,0,3621.266477,193.171404,0.0,0.0,0.0,0.0,3671.777443,0.222222,5,4000.0
C10177,10221.35,1.0,130,10693.49585,347.641073,7141.38,1.0,3079.97,0.833333,1620.685551,0.583333,18,10500.0
C10178,300.0,0.25,3,291.948834,43.452683,0.0,0.0,300.0,0.166667,0.0,0.0,0,12500.0
C10179,0.0,0.0,0,1423.788603,461.365626,0.0,0.0,0.0,0.0,3905.326256,0.285714,9,3000.0
C10180,5715.0,1.0,90,4639.513745,3192.306018,4685.54,1.0,1029.46,1.0,1626.351366,0.166667,3,14000.0
C10181,0.0,0.0,0,470.565984,408.799147,0.0,0.0,0.0,0.0,205.737165,0.166667,2,1800.0
C10182,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,1017.120578,0.25,5,2300.0
C10183,0.0,0.0,0,2431.578544,1739.74883,0.0,0.0,0.0,0.0,2040.433925,0.583333,13,3000.0
C10184,3535.8,1.0,44,2814.231227,186.230835,1614.7,0.416667,1921.1,0.916667,0.0,0.0,0,20000.0
C10185,256.11,0.416667,5,831.375322,189.036967,0.0,0.0,256.11,0.416667,0.0,0.0,0,5300.0
C10186,2697.48,1.0,39,1686.196344,303.361632,150.5,0.333333,2546.98,1.0,0.0,0.0,0,2500.0
C10187,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,5000.0
C10188,117.0,0.25,3,17301.83238,931.618475,0.0,0.0,117.0,0.166667,17661.49486,0.75,28,4500.0
C10189,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,12000.0
C10190,653.73,0.666667,15,441.588141,136.827952,493.0,0.416667,160.73,0.416667,0.0,0.0,0,10000.0
C10191,2009.05,0.833333,22,2612.760497,197.638558,0.0,0.0,2009.05,0.75,0.0,0.0,0,1200.0
C10192,147.78,0.166667,2,1186.062765,374.595505,0.0,0.0,147.78,0.166667,1657.090283,0.25,4,6000.0
C10193,516.54,1.0,30,579.749308,693.894717,159.07,0.333333,357.47,0.916667,0.0,0.0,0,900.0
C10194,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,446.233197,0.083333,1,2400.0
C10196,311.45,0.333333,15,277.522439,286.299328,311.45,0.333333,0.0,0.0,955.959749,0.083333,1,1500.0
C10197,280.4,0.25,3,254.392984,55.79974,280.4,0.25,0.0,0.0,0.0,0.0,0,6150.0
C10198,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,6000.0
C10199,79.2,0.083333,1,1647.880773,24.815878,79.2,0.083333,0.0,0.0,1631.576375,0.083333,1,4000.0
C10200,1453.32,0.5,18,1382.269127,1755.253802,0.0,0.0,1453.32,0.5,0.0,0.0,0,16500.0
C10201,756.54,0.5,15,1110.870941,1431.201171,756.54,0.5,0.0,0.0,0.0,0.0,0,4000.0
C10202,3507.35,0.916667,34,1412.597253,1825.176503,603.75,0.166667,2903.6,0.833333,0.0,0.0,0,11500.0
C10203,3163.69,0.75,36,2422.911622,187.046284,56.8,0.083333,3106.89,0.666667,0.0,0.0,0,8000.0
C10204,1343.19,1.0,33,1043.55929,182.429461,1082.79,1.0,260.4,0.583333,0.0,0.0,0,15000.0
C10205,873.0,0.166667,5,541.722532,762.682834,873.0,0.166667,0.0,0.0,0.0,0.0,0,8000.0
C10206,47.55,0.166667,2,2976.579866,3463.174962,0.0,0.0,47.55,0.166667,2039.52804,0.75,14,6000.0
C10207,370.0,0.166667,2,1212.054219,68.725483,370.0,0.166667,0.0,0.0,0.0,0.0,0,23000.0
C10208,405.75,0.5,12,1249.835142,313.052687,313.75,0.166667,92.0,0.416667,1044.651618,0.333333,6,2000.0
C10209,261.64,0.833333,10,376.758504,169.78292,0.0,0.0,261.64,0.833333,0.0,0.0,0,4000.0
C10211,1989.28,0.333333,8,4720.900413,2557.044576,842.8,0.166667,1146.48,0.166667,893.757903,0.083333,2,14000.0
C10212,10848.5,1.0,123,9423.715495,2925.275522,8208.0,0.666667,2640.5,1.0,0.0,0.0,0,7500.0
C10213,43.39,0.083333,1,130.107234,29.700051,0.0,0.0,43.39,0.083333,0.0,0.0,0,4000.0
C10214,645.32,0.166667,2,2591.391006,808.217224,645.32,0.166667,0.0,0.0,1665.331678,0.416667,9,1800.0
C10215,987.1,0.333333,9,1941.541158,2391.987571,862.1,0.333333,125.0,0.083333,5468.620604,0.25,16,10500.0
C10216,1464.14,0.833333,23,1658.563509,1887.413517,978.71,0.583333,485.43,0.666667,3947.86784,0.416667,10,11500.0
C10217,927.0,0.25,4,1260.16384,59.04439,600.0,0.083333,327.0,0.166667,0.0,0.0,0,5000.0
C10218,393.62,0.916667,15,1919.630466,1731.549385,153.72,0.916667,239.9,0.166667,5933.467329,0.75,24,10000.0
C10219,965.5,0.5,9,1034.932404,941.496383,876.13,0.5,89.37,0.083333,0.0,0.0,0,7500.0
C10220,0.0,0.0,0,4543.63481,647.20869,0.0,0.0,0.0,0.0,102.275984,0.083333,1,7500.0
C10221,336.41,0.75,9,947.696134,217.027653,336.41,0.75,0.0,0.0,0.0,0.0,0,6000.0
C10222,540.0,0.25,3,548.967281,48.659935,0.0,0.0,540.0,0.166667,0.0,0.0,0,4000.0
C10223,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,7500.0
C10224,878.52,1.0,39,542.836917,471.496776,103.1,0.166667,775.42,0.916667,197.648111,0.083333,1,1500.0
C10226,144.26,0.333333,7,134.710832,75.515008,67.08,0.083333,77.18,0.166667,0.0,0.0,0,11500.0
C10227,493.85,0.5,10,2795.059574,2661.324808,441.35,0.333333,52.5,0.25,1738.33378,0.833333,16,2000.0
C10228,4490.69,1.0,52,5763.666926,582.589765,3456.25,0.916667,1034.44,1.0,188.783221,0.083333,1,8500.0
C10229,11188.62,1.0,151,11994.41815,8517.258683,6099.16,0.75,5089.46,1.0,0.0,0.0,0,10000.0
C10230,1829.2,1.0,17,971.234118,985.954762,1792.7,1.0,36.5,0.083333,0.0,0.0,0,7000.0
C10231,75.99,0.142857,1,69.163384,99.401747,75.99,0.142857,0.0,0.0,0.0,0.0,0,2700.0
C10232,1824.16,1.0,23,1508.016452,1370.519926,1598.56,0.916667,225.6,0.75,0.0,0.0,0,14500.0
C10233,9325.22,0.333333,5,11036.72668,1824.680131,9325.22,0.333333,0.0,0.0,0.0,0.0,0,8500.0
C10234,100.0,0.083333,1,125.769169,104.857518,100.0,0.083333,0.0,0.0,0.0,0.0,0,4000.0
C10235,1431.89,1.0,39,2384.542045,3868.70983,430.69,0.416667,1001.2,0.833333,0.0,0.0,0,4000.0
C10236,2260.41,0.833333,25,2187.930651,739.224894,1356.33,0.416667,904.08,0.75,0.0,0.0,0,8500.0
C10237,0.0,0.0,0,1068.581252,25.537,0.0,0.0,0.0,0.0,466.643895,0.111111,1,1200.0
C10238,10410.49,0.75,41,9695.650901,726.696049,1158.84,0.666667,9251.65,0.583333,0.0,0.0,0,19500.0
C10239,990.7,0.75,13,505.317328,438.324017,482.0,0.25,508.7,0.583333,0.0,0.0,0,1400.0
C10240,3034.92,1.0,12,2928.909865,2733.317012,0.0,0.0,3034.92,1.0,0.0,0.0,0,2900.0
C10241,1038.81,0.916667,21,1215.454299,422.331098,1038.81,0.916667,0.0,0.0,1092.634704,0.083333,1,5700.0
C10242,45.65,0.083333,1,542.7463,628.211031,45.65,0.083333,0.0,0.0,0.0,0.0,0,2500.0
C10243,2641.98,0.833333,41,1839.928884,1075.456585,1386.3,0.666667,1255.68,0.75,263.884743,0.083333,1,3000.0
C10244,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,8000.0
C10245,300.0,0.5,6,1975.974183,1774.584333,0.0,0.0,300.0,0.416667,2800.728343,0.25,3,12000.0
